,ID,LHON,MELAS,ADOA,Leigh,MERRF,KSS,Alpers,LBSL,PDD,PEO,MS,Parkin,ALS,AD,Epil,Schiz,FA,HSP,WD,name,synonyms
0,Q96DA6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005082560957965904,0.0,mitochondrial import inner membrane translocase subunit TIM14 isoform X2,"['DNAJC19 isoform 5', 'PAM18', 'DNAJC19 isoform 1', 'mitochondrial import inner membrane translocase subunit TIM14 isoform X1', 'Mitochondrial import inner membrane translocase subunit TIM14', 'DNAJC19', 'TIM14', 'DNAJC19 isoform 9', 'DNAJC19 isoform 4', 'DnaJ heat shock protein family (Hsp40) member C19', 'Mitochondrial import inner membrane translocase subunit TIM14 isoform 1', 'DnaJ-like protein subfamily C member 19 isoform 1', 'DnaJ (Hsp40) homolog, subfamily C, member 19', 'mitochondrial import inner membrane translocase subunit TIM14 isoform X3', 'DnaJ homolog subfamily C member 19', 'TIMM14', 'J domain-containing protein', 'DNAJC19 isoform 2', 'Mitochondrial import inner membrane', 'mitochondrial import inner membrane translocase subunit TIM14', 'DNAJC19 isoform 7', 'mitochondrial import inner membrane translocase subunit TIM14 isoform 1', 'mitochondrial import inner membrane\n']"
1,Q96IX5,0.0,0.0,0.0,0.014041292319365708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034316980948872486,0.0,0.0,0.0,0.0,0.0,up-regulated during skeletal muscle growth protein 5,"['ATP synthase membrane subunit DAPIT, mitochondrial-like', 'up-regulated during skeletal muscle growth protein 5 isoform X1', 'USMG5 isoform 1', 'up-regulated during skeletal muscle growth protein 5 isoform X2', 'MC5DN6', 'ATP synthase membrane subunit K, mitochondrial', 'USMG5 protein', 'DAPIT', 'USMG5', 'HCV F-transactivated protein 2', 'Up-regulated during skeletal muscle growth protein 5', 'Up-regulated during skeletal muscle growth 5 homolog', 'USMG5 isoform 4', 'USMG5 isoform 3', 'USMG5 isoform 5', 'ATP5MD', 'Up-regulated during skeletal muscle', 'Diabetes-associated protein in insulin-sensitive tissues', 'bA792D24.4', 'ATP synthase membrane subunit DAPIT, mitochondrial', 'USMG5 isoform 2', 'HCVFTP2', 'ATP synthase membrane subunit DAPIT', 'up-regulated during skeletal muscle growth 5 homolog', 'up-regulated during skeletal muscle', 'diabetes-associated protein in insulin-sensitive tissues\n']"
2,Q92947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077680912472617766,0.04028659231841681,0.0,0.0,0.0,0.0,"glutaryl-CoA dehydrogenase, mitochondrial isoform X3","['glutaryl-CoA dehydrogenase, mitochondrial', 'Truncated glutaryl-CoA dehydrogenase', 'GCDH isoform 7', 'Glutaryl-CoA dehydrogenase, mitochondrial isoform a', 'GCD', 'glutaryl-CoA dehydrogenase, mitochondrial isoform X2', 'GCDH isoform 1', 'Glutaryl CoA dehydrogenase', 'glutaryl-CoA dehydrogenase', 'GCDH isoform 11', 'GCDH isoform 4', 'EC 1.3.8.6', 'GCDH isoform 6', 'GCDH', 'ACAD5', 'GCDH isoform 5', 'Uncharacterized protein DKFZp469I072', 'Glutaryl-CoA dehydrogenase, mitochondrial', 'Glutaryl-CoA dehydrogenase', 'GCDH isoform 8', 'GCDH isoform 10', 'glutaryl-CoA dehydrogenase, mitochondrial isoform X1', 'Glutaryl-Coenzyme A dehydrogenase, isoform CRA_a', 'Truncated glutaryl CoA dehydrogenase', 'GCDH isoform 3', 'truncated glutaryl-CoA dehydrogenase', 'glutaryl CoA dehydrogenase', 'uncharacterized protein DKFZp469I072', 'truncated glutaryl CoA dehydrogenase\n']"
3,Q9P2J9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033710514205030173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PDP 2,"['PDP2', 'Pyruvate dehydrogenase phosphatase catalytic subunit 2', 'PDP2 isoform 8', 'PDP2 isoform 6', '[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 2, mitochondrial (Fragment)', 'PPM2B', 'PDP2 isoform 4', 'PDP2 isoform 3', 'Pyruvate dehydrogenase phosphatase 2', 'Pyruvate dehyrogenase phosphatase catalytic subunit 2', 'Uncharacterized protein DKFZp459I1928', 'pyruvate dehydrogenase [acetyl-transferring]-phosphatase 2, mitochondrial', 'PPM2C2', 'PDP2 isoform 2', 'PDP2 isoform 5', 'pyruvate dehyrogenase phosphatase catalytic subunit 2', 'PDPC 2', 'PPM-type phosphatase domain-containing protein', 'pyruvate dehydrogenase [acetyl-transferring]-phosphatase 2, mitochondrial isoform X1', 'EC 3.1.3.43', 'PDP2 isoform 1', 'PDP2 isoform 7', '[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 2, mitochondrial', 'pyruvate dehydrogenase phosphatase catalytic subunit 2', 'pyruvate dehydrogenase phosphatase 2', 'uncharacterized protein DKFZp459I1928\n']"
4,Q9H4I9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005082560957965904,0.0,"Essential MCU regulator, mitochondrial","['single-pass membrane protein with aspartate rich tail 1', 'Single-pass membrane protein with aspartate-rich tail 1, mitochondrial', 'C22orf32', 'EMRE', 'essential MCU regulator, mitochondrial', 'DDDD', 'SMDT1', 'single-pass membrane protein with aspartate-rich tail 1, mitochondrial\n']"
5,P49914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010137432510469738,0.0,0.0,0.0,0.0,methenyltetrahydrofolate synthetase,"['NEDMEHM', '5-formyltetrahydrofolate cyclo-ligase isoform X2', 'EC 6.3.3.2', 'Methenyltetrahydrofolate synthetase', '5,10-methenyl-tetrahydrofolate synthetase', 'Methenyl-THF synthetase', '5-formyltetrahydrofolate cyclo-ligase', '5-formyltetrahydrofolate cyclo-ligase isoform X1', 'MTHFS', 'HsT19268\n']"
6,Q13472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004843088067565315,0.0038365152103057775,0.0,0.0,0.0,0.008360859782321628,0.0,0.003918041380268893,0.0,0.0,DNA topoisomerase 3-alpha isoform X1,"['TOP3A', 'DNA topoisomerase III alpha', 'MGRISCE2', 'ZGRF7', 'DNA topoisomerase 3-alpha', 'DNA topoisomerase 3-alpha isoform X3', 'EC 5.6.2.1', 'TOP3A isoform 20', 'TOP3', 'PEOB5', 'DNA topoisomerase', 'DNA topoisomerase 3-alpha isoform X2\n']"
7,Q96RR1,0.009633276684306026,0.027530218796713458,0.01265921093618405,0.0,0.008969031455045033,0.07936910655011582,0.007176712459708722,0.0,0.0,0.1809113073680167,0.0,0.01131891800481915,0.0024113822453405856,0.006250553435758708,0.011827871842495084,0.008610520328181541,0.00723675009969837,0.0,0.0,Mitochondrial twinkle protein,"['Twinkle mtDNA helicase', 'SCA8', 'Twinkle protein, mitochondrial', 'PEO', 'TWNK', 'IOSCA', 'ATXN8', 'C10orf2 protein', 'TWNK isoform 1', 'cDNA: FLJ21832 fis, clone HEP01571', 'Twinkle protein, mitochondrial isoform A', 'PEO1', 'SF4 helicase domain-containing protein', 'EC 3.6.4.12', 'C10orf2', 'TWINL', 'MTDPS7', 'PEOA3', 'twinkle mtDNA helicase', 'PRLTS5', 'T7-like mitochondrial DNA helicase', 'twinkle protein, mitochondrial isoform X1', 'Progressive external ophthalmoplegia 1 protein', 'SANDO', 'T7 gp4-like protein with intramitochondrial nucleoid localization', 'TWNK isoform 5', 'mitochondrial twinkle protein', 'twinkle protein, mitochondrial', 'twinkle protein, mitochondrial isoform A', 'progressive external ophthalmoplegia 1 protein\n']"
8,Q96EY8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0134518683740197,0.01121105559279403,0.009634852753403868,0.014701555907802331,0.019975065182087182,0.016882004203786802,0.0,0.0,0.0,corrinoid adenosyltransferase,"['cblB', 'corrinoid adenosyltransferase isoform X1', 'corrinoid adenosyltransferase isoform X2', 'ATR', 'metabolism of cobalamin associated B', 'Cobinamide/cobalamin adenosyltransferase', 'MMAB', 'Methylmalonic aciduria type B protein', 'cob', 'cob(I)yrinic acid a,c-diamide adenosyltransferase, mitochondrial isoform X1', 'Corrinoid adenosyltransferase', 'cob(I)yrinic acid a,c-diamide adenosyltransferase, mitochondrial', 'CFAP23', 'Cob(II)alamin adenosyltransferase', 'EC 2.5.1.17', 'Cob(II)yrinic acid a,c-diamide adenosyltransferase', 'cobinamide/cobalamin adenosyltransferase', 'methylmalonic aciduria type B protein\n']"
9,Q9Y697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005668550098213493,0.0,0.016483259172862356,0.0,0.0,NFS1,"['cysteine desulfurase, mitochondrial', 'cysteine desulfurase, mitochondrial isoform X4', 'cysteine desulfurase, mitochondrial-like', 'cysteine desulfurase, mitochondrial isoform X3', 'cysteine desulfurase, mitochondrial isoform X6', 'Cysteine desulfurase, mitochondrial', 'NIFS', 'EC 2.8.1.7', 'cysteine desulfurase, mitochondrial isoform X2', 'cysteine desulfurase, mitochondrial isoform X1', 'IscS', 'NFS1 cysteine desulfurase', 'HUSSY-08\n']"
